link,Year,About,Event,Speaker,Organization,Category,Source of Summary,Summary,Topic 1,Sub-topic 1-1,Sub-topic 1-2,Sub-topic 1-3,Topic 2,Sub-topic 2-1,Sub-topic 2-2,Sub-topic 2-3
https://www.youtube.com/watch?v=SU_Fp4xS_g4&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx,2019,Event-based Cameras: Challenges and Opportunities,CVPR Workshop on Event-based Vision,Davide Scaramuzza,INI Zurich,Sensing,ChatGPT,"The speaker is discussing the challenges and opportunities of event-based cameras. They mention that event-based cameras are different from standard cameras because they do not output frames like standard cameras, but instead output a stream of events with unique timestamps that correspond to changes in the image (positive or negative). They also mention that event-based cameras can offer advantages such as high dynamic range, low motion blur, and low power consumption. However, there are also challenges to be addressed, such as processing asynchronous streams and developing algorithms that can effectively utilize the unique characteristics of event-based cameras. The speaker also mentions some potential applications for event-based cameras, such as real-time 3D reconstruction and robotics.",,,,,,,,
https://www.youtube.com/watch?v=zGMzQ34Ksok&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=2,2019,Novel Hardware for Spatial AI,CVPR Workshop on Event-based Vision,Andrew Davison,Imperial College London,Robotics applications,ChatGPT,"The speaker, Andrew Davison, is discussing his work in the field of SLAM (Simultaneous Localization and Mapping), which is the problem of how devices understand and build a representation of the world around them, understand their position within it, and use that information to navigate or interact. He notes that there are now a number of products on the market that use SLAM in some form, such as robot vacuum cleaners and drones. He argues that the field of SLAM is evolving into something bigger, which he calls ""spatial AI,"" and that this field has the potential to lead to game-changing products such as general-purpose home robotics and mass-market augmented reality devices. He also acknowledges that there are significant challenges to overcome in order to achieve these goals.",,,,,,,,
https://www.youtube.com/watch?v=7fAPckjQSGE&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=3,2019,Industrial DVS Design: Key Features and Applications,CVPR Workshop on Event-based Vision,Hyunsurk Eric Ryu.,Samsung,Sensing,ChatGPT,"The speaker in the video is a representative from Samsung Electronics, and they are discussing the development and applications of DVS (dynamic vision sensor) chips. The company started developing these chips in 2012 and has made several versions since then. The main focus of the development has been to improve the chip's specialization, data bandwidth, and power consumption. The speaker also mentions that one of the main challenges in designing DVS chips is that the data generation from the sensor depends on the contrast of the object being captured and the illumination condition. The company has developed a technology to increase the bandwidth and video quality of the chips, which helps to mitigate some of these challenges.",,,,,,,,
https://www.youtube.com/watch?v=aDzFSG4yV0M&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=4,2019,Unsupervised Learning of Optical Flow and Camera Motion from Event Data,CVPR Workshop on Event-based Vision,Alex Z. Zhu,University of Pennsylvania,Learning,ChatGPT,"The video is about unsupervised learning methods for event cameras at the University of Pennsylvania. The speaker, Alex Z. Zhu, explains the motivation for using event cameras, which include their ability to capture high-speed motion and high dynamic range without the need for high frame rates. He also mentions that the latency and dynamic range of event cameras are coupled and that they are good for a wide range of motion speeds, not just very fast motions. The speaker then discusses their initial research, which involved designing algorithms that resemble traditional computer vision techniques such as feature tracking for events using an expectation maximization algorithm to solve for optical flow.",,,,,,,,
https://www.youtube.com/watch?v=jhQgElvtb1s&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=5,2019,Realizing the Promise of Spiking Neuromorphic Hardware,CVPR Workshop on Event-based Vision,Mike Davies,Intel,Generic introduction,ChatGPT,"The speaker, Mike Davies, is discussing the potential of neuromorphic computing, specifically spike-based computing, for solving real-world problems. He explains that the traditional von Neumann model of computing may not be sufficient for certain intelligent workloads and that new architectures are needed to achieve more efficient computing. The spike-based neural network model is seen as a simple enhancement to the traditional model that greatly broadens the algorithmic space of what neural networks are capable of computing. The speaker also mentions a chip developed by Intel called Loihi, named after an underwater volcano, which is designed to implement spiking neural networks.",,,,,,,,
https://www.youtube.com/watch?v=wCs2lv3g4A4&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=6,2019,Spiking Neural Networks for Event-based Vision,CVPR Workshop on Event-based Vision,Garrick Orchard,Intel,Neuromorphic-compatible algorithms,ChatGPT,"The speaker is discussing recent work on using spiking neural networks for event-based vision. They are focusing on the use of these networks to detect basic features, such as the orientation of a line, from an event stream. The speaker describes how a particular neuron can act as a coincidence detector, detecting the spatial pattern of activation across multiple pixels connected to it via synapses. They also mention previous work on the H max model, which is a frame-based algorithm for image recognition, and how they are attempting to port that to the spike domain using Gabor filters and pooling layers.",,,,,,,,
https://www.youtube.com/watch?v=_2NWHyM_Bds&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=7,2019,Object Motion Estimation and Grouping from Event Data,CVPR Workshop on Event-based Vision,Cornelia Fermüller,University of Maryland,Neuromorphic-compatible algorithms,ChatGPT,"The video is discussing motion segmentation, which is an important problem in event-based processing for DVS (dynamic vision sensor) cameras. The speaker, Cornelia Fermüller, and her collaborators have been working on independent motion segmentation for fast and challenging scenes. They use event data, which is generated by DVS cameras and is inspired by the mammalian transient pathway, to improve motion segmentation. Fermüller also describes various stimuli that demonstrate how the event data can be used for motion segmentation. The video also mentions that they have used optimization approaches, machine learning techniques, and implemented the techniques in a vector frameworks to make the process faster.",,,,,,,,
https://www.youtube.com/watch?v=D3VcmkQiPR4&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=8,2019,SCAMP-5: Vision Sensor with Pixel Parallel SIMD Processor Array,CVPR Workshop on Event-based Vision,Piotr Dudek,University of Manchester,Sensing,ChatGPT,"The video is a talk given by Piotr Dudek of the University of Manchester about a vision sensor with a pixel parallel SIMD processor array. The talk discusses the difficulty of designing embedded systems for vision processing, as it requires high performance and low power consumption. Dudek suggests that one solution is to eliminate the conventional image sensor and replace it with a smarter sensor that processes information on the sensor itself and sends meaningful data instead of streams of images. This approach has benefits such as high performance, low latency, and reduced power consumption and size of the system. The talk also mentions that event cameras, which detect changes in intensity, are one example of this approach, but that there may be other types of features that could be extracted from images before transmitting data from the sensor.",,,,,,,,
https://www.youtube.com/watch?v=-ZSQWO_9gyc&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=9,2019,Asynchronous Convolutions and Image Reconstruction,CVPR Workshop on Event-based Vision,Robert Mahony,Australian National University,Sensing,ChatGPT,"The speaker is discussing a method for processing data from event cameras, which are a type of camera that outputs a stream of events rather than traditional image data. The speaker is from a systems and control background and is interested in using event cameras for robotics applications. The approach involves using an FPGA (field-programmable gate array) to handle the event processing, which allows for more complex computations to be done on the rest of the system. The speaker is focused on image reconstruction and gradient computation, and is approaching the problem by treating event streams as continuous time systems. They explain that direct integration, which is a method of rebuilding an image from an event stream by summing up all the events that have occurred in that particular image, is one approach that has been used in the past.",,,,,,,,
https://www.youtube.com/watch?v=JcgboJ_7JAE&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=10,2019,Bringing a Blurry Frame Alive at High Frame-Rate with an Event Camera,CVPR Workshop on Event-based Vision,Yuchao Dai,Australian National University,Sensing,ChatGPT,"The video presents a research study on how to bring a blurry frame to life and achieve high frame-rate reconstruction using an event camera. The researchers aim to combine the output of intensity images and events from the camera to achieve their goal. They focus on the unique characteristics of event cameras, such as high temporal resolution and the ability to capture dynamic scenes without blur. They propose a solution that involves a single variable optimization problem and use logarithmic integration of event data to reconstruct the current intensity signal. The goal is to produce a high-frame-rate video from a single blurry frame.",,,,,,,,
https://www.youtube.com/watch?v=1LZKtnQ-6lA&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=11,2019,Events-to-Video: Bringing Modern Computer Vision to Event Cameras,CVPR Workshop on Event-based Vision,Henri Rebecq,INI Zurich,Sensing,ChatGPT,"In this video, the presenter discusses a research project called ""Events-to-Video: Bringing Modern Computer Vision to Event Cameras."" The goal of the project is to turn event data from event cameras, which have high temporal resolution and high dynamic range, into high-quality video. The team used a recurrent neural network and a volumetric voxel grid to convert the event data into an image reconstruction. To train the system, they used a synthetic data generated in a 3D virtual world. The presenter shows examples of their system in action, including high frame rate videos and videos with high dynamic range.",,,,,,,,
https://www.youtube.com/watch?v=jHcxQRC-7iQ&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=12,2019,EventNet: Asynchronous recursive event processing,CVPR Workshop on Event-based Vision,Yusuke Sekikawa,Denso IT Lab Inc. Japan,Event-based systems,ChatGPT,"EventNet is a bit-based neural network designed to efficiently process event streams, which are sequences of events that occur at varying rates and lengths. The goal of EventNet is to create an end-to-end trainable neural network that can model the relationships between a set of events and a target output. The network is inspired by PointNet, which was designed to process sets of points directly without identification and is invariant to the permutation of input points. However, PointNet was designed to process set of inputs in batch manner and cannot process sequential data recursively. EventNet overcomes this computational difficulty by processing past event signals recursively, using a lookup table, realization of MLP and to module architecture.",,,,,,,,
https://www.youtube.com/watch?v=PK2qaqHv5aw&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=13,2019,Neuromorphic Computing: towards event-based cognitive sensing and control,CVPR Workshop on Event-based Vision,Yulia Sandamirskaya,Intel,Event-based systems,ChatGPT,"The speaker is discussing neuromorphic computing, which involves using event-based sensors to produce streams of events, and then fitting that data into a computer. They note that the traditional computing architecture of off-the-shelf computers doesn't fit well with the task of processing the massively parallel stream of sensor information that comes from event-based sensors. They suggest that there is a need for hardware that better matches event-based processing, such as neuromorphic devices, which are hardware implementations of neuronal networks, specifically spiking networks. The speaker also mentions that it is possible to take off-the-shelf convolutional neural networks (CNNs) and use a particular framework to transfer them into spiking neural networks (SNNs), but that this will not give the same performance as the original CNN and some tweaking of the parameters is necessary.",continue,,,,,,,
https://www.youtube.com/watch?v=VgCJ8sldWN8&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=14,2019,Bringing computation on the focal plane: algorithms and systems for sensors,CVPR Workshop on Event-based Vision,Julien N.P. Martel,Stanford,Sensing,ChatGPT,"The speaker in the video, Julien N.P. Martel, is discussing the concept of using computation on the focal plane of sensors in order to perform advanced vision algorithms. He explains that the interaction of light and matter is complex and that optics and sensors can capture properties of this interaction and produce a ""visual code"". Vision algorithms then act as a ""decoder"" to extract visual quantities of interest, such as the motion of objects or properties of light sources. He goes on to explain that there are many different types of sensors that can be used to measure various visual quantities, such as light intensity or polarization. He also notes that by understanding the relationships between different visual quantities, it is possible to infer information about a scene even if a specific sensor for that information does not exist.",,,,,,,,
https://www.youtube.com/watch?v=4Cv7QEeNpTg&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=15,2019,Learning from Events: on the Future of Machine Learning for Event-based Cameras,CVPR Workshop on Event-based Vision,Amos Sironi,Prophesee,Sensing,ChatGPT,"The speaker, Musa Roni, is leading the machine learning team at Prophesee and in this video, he discusses the company's work and future direction in the field of machine learning for event-based cameras. He explains that as the size of the pixels in Prophesee's sensors have decreased, the resolution of the sensor has increased, allowing for greater detail in the images captured. He also mentions that the company has moved from a custom interface to a standard one, making it easier to integrate with other industrial frameworks and that they have implemented some event signal processing directly in the sensor. He also talks about the company's work in learning from the event data, including optical flow and object detection, and compares their approach to the state of the art in the field.",,,,,,,,
https://www.youtube.com/watch?v=2lsQ3tW7OzU&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=16,2019,"Applications, Software and Hardware for Event-Based Vision",CVPR Workshop on Event-based Vision,Kynan Eng,iniVation,Generic introduction,ChatGPT,"The speaker is discussing event-based vision and the importance of a community of developers to advance the technology. They mention that in 2005, the DVS (dynamic vision sensor) was used outside of the lab for the first time in an end-to-end neuromorphic visual system. They mention that since then, the DVS has been in use at 250 organizations, and that the goal is to make it as open and easy to use as possible, with open-source development environments and pre-built modules to interface with other systems. They also mention a new software solution that has been developed which is written in C++ and is more robust, open API, and cross-platform.",,,,,,,,
https://www.youtube.com/watch?v=9IJwF9xYEoU&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=17,2019,Event-based Vision for Augmented Reality,CVPR Workshop on Event-based Vision,Stefan Isler,Insightness,Sensing,ChatGPT,"This video discusses the concept of event-based vision for augmented reality, where the system is able to respond to specific events in the real world in order to create a more interactive and immersive experience for the user. The speaker mentions that this technology has the potential to spark innovation in a variety of industries, including entertainment and industrial, and that it could open up many new worlds and possibilities. They also mention the idea of a ""social interface"" which could be used to interact with the digital world and the potential for the technology to be used in the suburbs, and compare it with the fictional character Tony Stark. The speaker also mentions the importance of accurate sensing and low latency in this kind of system, and suggests that the technology could be used to create dynamic, interactive objects in the user's field of view.",,,,,,,,
https://www.youtube.com/watch?v=kzUHip3DAd0&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=18,2019,Introduction of Celex Family Sensor and Event/Frame/Optical-flow Hybrid Processing,CVPR Workshop on Event-based Vision,Shoushun Chen,CelePixel,Sensing,ChatGPT,"The video is an introduction to the Celex family sensor developed by the Shanghai-based company CelePixel. The sensor is a spinoff from a university and is designed to have low latency and reduce redundant data, which can increase the response time of a vision system. The sensor also uses a new kind of event packet that provides both spatial and temporal information, which can be used for tracking and object identification or classification. The company has been in operation since 2011, and has developed sensors with resolution up to 1 million pixels, with a focus on the automotive industry.",,,,,,,,
https://www.youtube.com/watch?v=XuYYhyS8IwM&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=19,2019,Star Tracking using an Event Camera,CVPR Workshop on Event-based Vision,Tan-Jun Chin,University of Adelaide,Aerospace applications,Paper,"Star trackers are primarily optical devices that are used to estimate the attitude of a spacecraft by recognising and tracking star patterns. Currently, most star trackers use conventional optical sensors. In this application paper, we propose the usage of event sensors for star tracking. There are potentially two benefits of using event sensors for star tracking: lower power consumption and higher operating speeds. Our main contribution is to formulate an algorithmic pipeline for star tracking from event data that includes novel formulations of rotation averaging and bundle adjustment. In addition, we also release with this paper a dataset for star tracking using event cameras1 . With this work, we introduce the problem of star tracking using event cameras to the computer vision community, whose expertise in SLAM and geometric optimisation can be brought to bear on this commercially important application.",,,,,,,,
https://www.youtube.com/watch?v=Bwmmt7dqTIw&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=20,2019,Real-Time 6DOF Pose Relocalization for Event Cameras with Stacked Spatial LSTM Networks,CVPR Workshop on Event-based Vision,Anh Nguyen,IIT,Sensing,Paper,"We present a new method to relocalize the 6DOF pose of an event camera solely based on the event stream. Our method first creates the event image from a list of events that occurs in a very short time interval, then a Stacked Spatial LSTM Network (SP-LSTM) is used to learn the camera pose. Our SP-LSTM is composed of a CNN to learn deep features from the event images and a stack of LSTM to learn spatial dependencies in the image feature space. We show that the spatial dependency plays an important role in the relocalization task with event images and the SP-LSTM can effectively learn this information. The extensively experimental results on a publicly available dataset show that our approach outperforms recent state-of-the-art methods by a substantial margin, as well as generalizes well in challenging training/testing splits. The source code and trained models are available at https:// github.com/ nqanh/ pose relocalization",,,,,,,,
https://www.youtube.com/watch?v=AuXN7y3bMqo&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=21,2019,EV-SegNet: Semantic Segmentation for Event-based Cameras,CVPR Workshop on Event-based Vision,Inigo Alonso,Universidad Zaragoga,Sensing,Paper,"Event cameras are very promising sensors which have shown several advantages over frame-based cameras. Deep learning based approaches, which are leading the state-ofthe-art in visual recognition tasks, could potentially take advantage of the benefits of these cameras, but some adaptations are still needed in order to effectively work on event data. This work introduces the first baseline for semantic segmentation with this kind of data. We build a semantic segmentation CNN based on state-of-the-art techniques which takes event information as the only input. Besides, we propose a novel representation for DVS data that outperforms previously used event representations for related tasks. Since there is no existing labeled dataset for this task, we propose how to automatically generate approximated semantic segmentation labels for some sequences of the DDD17 dataset, which we publish together with the model, and demonstrate they are valid to train a model for DVS data only. We compare our results on semantic segmentation from DVS data with results using corresponding grayscale images, demonstrating how they are complementary and worth combining.",,,,,,,,
https://www.youtube.com/watch?v=S1OLnbnB_qo&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=22,2019,Learning Event-based Height from Plane and Parallax,CVPR Workshop on Event-based Vision,Kenneth Chaney,University of Pennsylvania,Sensing,Paper,"In this work, we propose a fast method to perform event-based structure estimation for vehicles traveling in a roughly 2D environment (e.g. in an environment with a ground plane). Our method transfers the method of plane and parallax to events, which, given the homography to a ground plane and the pose of the camera, generates a warping of the events which removes the optical flow for events on the ground plane, while inducing flow for events above the ground plane. We then estimate dense flow in this warped space using a self-supervised neural network, which provides the height of all points in the scene. We evaluate our method on the Multi Vehicle Stereo Event Camera dataset, and show its ability to rapidly estimate the scene structure both at high speeds and in low lighting conditions.",,,,,,,,
https://www.youtube.com/watch?v=JKRSeg3WrGw&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=23,2019,Asynchronous Convolutional Networks for Object Detection in Neuromorphic Cameras,CVPR Workshop on Event-based Vision,Marco Cannici,Politecnico di Milano,Neuromorphic-compatible algorithms,Paper,"Event-based cameras, also known as neuromorphic cameras, are bioinspired sensors able to perceive changes in the scene at high frequency with low power consumption. Becoming available only very recently, a limited amount of work addresses object detection on these devices. In this paper we propose two neural networks architectures for object detection: YOLE, which integrates the events into surfaces and uses a frame-based model to process them, and fcYOLE, an asynchronous event-based fully convolutional network which uses a novel and general formalization of the convolutional and max pooling layers to exploit the sparsity of camera events. We evaluate the algorithm with different extensions of publicly available datasets, and on a novel synthetic dataset.",,,,,,,,
https://www.youtube.com/watch?v=nFUAQYk3tYA&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=24,2019,DHP19: Dynamic Vision Sensor 3D Human Pose Dataset,CVPR Workshop on Event-based Vision,Enrico Calabrese,INI Zurich,Software and tools,Paper,"Human pose estimation has dramatically improved thanks to the continuous developments in deep learning. However, marker-free human pose estimation based on standard frame-based cameras is still slow and power hungry for real-time feedback interaction because of the huge number of operations necessary for large Convolutional Neural Network (CNN) inference. Event-based cameras such as the Dynamic Vision Sensor (DVS) quickly output sparse moving-edge information. Their sparse and rapid output is ideal for driving low-latency CNNs, thus potentially allowing real-time interaction for human pose estimators. Although the application of CNNs to standard framebased cameras for human pose estimation is well established, their application to event-based cameras is still under study. This paper proposes a novel benchmark dataset of human body movements, the Dynamic Vision Sensor Human Pose dataset (DHP19). It consists of recordings from 4 synchronized 346x260 pixel DVS cameras, for a set of 33 movements with 17 subjects. DHP19 also includes a 3D pose estimation model that achieves an average 3D pose estimation error of about 8 cm, despite the sparse and reduced input data from the DVS.",,,,,,,,
https://www.youtube.com/watch?v=BfMjtUQwWnQ&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=25,2019,CED: Color Event Camera Dataset,CVPR Workshop on Event-based Vision,Cedric Scheerlinck,INI Zurich,Software and tools,Paper,"Event cameras are novel, bio-inspired visual sensors, whose pixels output asynchronous and independent timestamped spikes at local intensity changes, called ‘events’. Event cameras offer advantages over conventional framebased cameras in terms of latency, high dynamic range (HDR) and temporal resolution. Until recently, event cameras have been limited to outputting events in the intensity channel, however, recent advances have resulted in the development of color event cameras, such as the ColorDAVIS346. In this work, we present and release the first Color Event Camera Dataset (CED), containing 50 minutes of footage with both color frames and events. CED features a wide variety of indoor and outdoor scenes, which we hope will help drive forward event-based vision research. We also present an extension of the event camera simulator ESIM [1] that enables simulation of color events. Finally, we present an evaluation of three state-of-the-art image reconstruction methods that can be used to convert the ColorDAVIS346 into a continuous-time, HDR, color video camera to visualise the event stream, and for use in downstream vision applications. Website: http://rpg.ifi.uzh.ch/CED",,,,,,,,
https://www.youtube.com/watch?v=eWBEJOr056E&list=PLeXWz-g2If97iGiuBHmnW8IFIxwvSeCHx&index=26,2019,Event-Based Attention and Tracking on Neuromorphic Hardware,CVPR Workshop on Event-based Vision,Yulia Sandamirskaya,INI Zurich,Neuromorphic platforms,Paper,"We present a fully event-driven vision and processing system for selective attention and tracking, realized on a neuromorphic processor Loihi interfaced to an event-based Dynamic Vision Sensor DAVIS. The attention mechanism is realized as a recurrent spiking neural network that implements attractor-dynamics of dynamic neural fields. We demonstrate capability of the system to create sustained activation that supports object tracking when distractors are present or when the object slows down or stops, reducing the number of generated events.",,,,,,,,
https://www.youtube.com/watch?v=LdfMTDS9rqI&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7,2021,Event Computer Vision 10 years Assessment,CVPR Workshop on Event-based Vision,Ryad Benosman,University of Pittsburgh,Generic introduction,Paper,"Abstract: The field of Event-based vision has started within the neuromorphic community decades ago with the promise to develop a new paradigm for sensing and computation inspired by brain structures. For decades, this endeavor has been an exercise in pure research, but over the past 10 years my lab and other investigators have been pursuing this approach to build practical vision systems available to laymen that could be bought off-the-shelf and used by all. Event-based sensors introduce a radical change in Computer Vision because they sample the visual information asynchronously based on pixels “deciding” when information must be acquired. Although some Event cameras allows the acquisition of frames or absolute illuminance, I will shine light on the generic approach required to process visual events in order to make full use of the low power low latency properties of these sensors. I will explain what the canonical structure of an event-based visual application. I will finally explain based on a deep knowledge of the field and the market where all this is heading and what major achievements are waiting to be made and what is currently preventing them from happening.",,,,,,,,
https://www.youtube.com/watch?v=JyaNT69GWO0&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=2,2021,Event-driven convolution based processing,CVPR Workshop on Event-based Vision,Bernabé Linares-Barranco,IMSE-CNM,Event-based systems,Paper,"Abstract: We review some of the event-driven hardware developments in which our lab has been involved, covering from sensitive-DVS to event-driven convolutions on dedicated ASICs, FPGAs, and the SpiNNaker platform, with applications in object recognition or stereo vision. We show how to train event-driven convnets to minimize the number of required spikes, reducing energy consumption for the same recognition tasks. Additionally, we present some results on a type of spike-timing-dependent-plasticity, which uses only binary weights combined with stochasticity, and which results in hardware that requires less hardware and energy resources for the same accuracy.",,,,,,,,
https://www.youtube.com/watch?v=tiK9idp4aaY&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=3,2021,Neuromorphic Vision Applications: From Robotic Foosball to Tracking Space Junk.,CVPR Workshop on Event-based Vision,Gregory Cohen,Western Sydney Univ.,Generic introduction,Paper,"Abstract: Neuromorphic event-based cameras offer a different way to approach visual imaging tasks and really excel at problems in which they can leverage the unique way that the hardware works. This talk will introduce a range of applications for neuromorphic cameras ranging from tracking space junk and satellites to their applications in robotic foosball and pinball. We will demonstrate real-world results from space tracking with event-based cameras, and introduce our Astrosite mobile neuromorphic telescope observatories - built specifically to leverage the benefits of neuromorphic space imaging. We will describe some of the problems with benchmarking and comparing neuromorphic systems, and show how robotic foosball and robotic pinball machines may be a great way to demonstrate the benefits of neuromorphic systems.",,,,,,,,
https://www.youtube.com/watch?v=E1ScHzUUeXA&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=4,2021,High-Performance Neuromorphic Vision: From Core Technologies to Applications,CVPR Workshop on Event-based Vision,Kynan Eng,iniVation,Generic introduction,Paper,"Abstract: Neuromorphic event-based vision can enable new levels of enhanced vision sensing in situations where current technologies fail. In this presentation, we provide an overview of our technology, our DV open developer environment, and some real-world application examples.",,,,,,,,
https://www.youtube.com/watch?v=CFdwBVawVkM&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=5,2021,From the lab to the real world: event-based vision evolves as a commercial force,CVPR Workshop on Event-based Vision,Luca Verre,Prophesee,Generic introduction,Paper,"Abstract: Neuromorphic-based vision has been a popular topic at conferences and technical discussions for many years. Thousands of man years of research have gone into innovative approaches for applying it to applications that improve safety, convenience, automation and efficiency in many aspects of our lives. Today, we are at the cusp of this truly paradigm-shifting approach becoming a commercial reality. From self-driving vehicles, to smart manufacturing and logistics, to scientific research, even space exploration as we have heard from other talks at this conference – we are at the dawn of a new era that will see broader adoption of this technology. At the heart of this movement is Event-Based Vision. By the very fact that we are all gathered for this outstanding event shows the interest and progress we have made, notably by the number of commercial entities who join me as speakers. It is a testament to the dedication of a generation of engineers and researchers in this field. The next step is building on that investment and developing a true ecosystem around the technology. This will require not just companies like Prophesee who implement the core sensors and software to deliver event-based vision as a usable technology, but also a range of software developers, system integrators, distribution partners, academic researchers, standards bodies, even governments to align behind this movement and facilitate even broader adoption. This presentation will frame that movement against the backdrop of the vast new potential of event-based vision in areas such as industrial automation, security and surveillance, mobile, IoT, health and AR/VR.",,,,,,,,
https://www.youtube.com/watch?v=U0ghh-7kQy8&list=PLeXWz-g2If95mjNpA-y-WIoDaoB8WtmE7&index=6,2021,Event-based Visual Odometry: A Short Tutorial,CVPR Workshop on Event-based Vision,Yi Zhou,HKUST,Sensing,ChatGPT,"The video is discussing the use of event-based cameras for visual odometry, a technique used to estimate the position and orientation of a camera in 3D space. Event-based cameras are a type of bioinspired sensor that acquire visual information in a different way from traditional cameras, producing a stream of asynchronous per-fix intensity changes instead of intensity frames at a fixed frame rate. The video covers the challenges and potential advantages of using event-based cameras for visual odometry, and introduces recent work on event-based stereo visual odometry. The video also provides a brief literature review on the two sub-problems of event-based visual odometry: camera pose tracking and 3D mapping, and highlights two system pipelines. The video concludes by summarizing the talk and outlining remaining open questions in event-based visual odometry.",,,,,,,,
